event_id,shipment_id,event_type,event_timestamp,carrier_hub,ingestion_date,attempt_number,attempt_result
1fdc7de7-01e4-434b-baf9-9c32905a90c7,SHP-ORPHAN-957012,HUB_SCAN,2018-05-06T08:22:09.726484,VAN-HUB-02,2018-05-06,,
345bdfc1-7e8b-48b8-8fb0-c5a232b8ad00,SHP-ORPHAN-277969,HUB_SCAN,2015-07-31T02:31:59.248961,EDM-HUB-01,2015-07-31,,
80fc3118-6557-48ab-b9df-be0ced38ce28,SHP-ORPHAN-889330,HUB_SCAN,2019-01-10T13:40:39.096862,VAN-HUB-01,2019-01-10,,
e438b824-ba41-4c58-851f-e6018647d309,SHP-ORPHAN-629753,HUB_SCAN,2012-06-30T20:38:07.414986,CAL-HUB-01,2012-06-30,,
bbfb28cd-9881-45ff-b583-b644790e629b,SHP-ORPHAN-585226,HUB_SCAN,2022-10-27T09:59:16.660126,ATL-HUB-01,2022-10-27,,
cbe52748-d2cb-426a-9ab3-5612f9c5b7fb,SHP-ORPHAN-467093,HUB_SCAN,2020-12-11T10:50:03.148656,ATL-HUB-01,2020-12-11,,
8807016a-0097-432f-9a0f-f82a83980112,SHP-ORPHAN-140726,HUB_SCAN,2025-12-08T11:52:26.411348,GTA-HUB-01,2025-12-08,,
4d5e98cf-4453-4944-889e-054dea5e5a14,SHP-ORPHAN-705760,HUB_SCAN,2016-06-18T00:08:36.762765,MTL-HUB-01,2016-06-18,,
ff4aac0f-8009-4eb0-9468-efefb625ec1d,SHP-ORPHAN-601693,HUB_SCAN,2021-05-14T23:10:39.481290,GTA-HUB-02,2021-05-14,,
26b83cf5-01c6-47fb-9286-78e2317566e0,SHP-ORPHAN-666983,HUB_SCAN,2025-03-30T10:42:53.485209,EDM-HUB-01,2025-03-30,,
29d90b5f-7dd5-4c0f-af61-f482c8cab6e4,SHP-ORPHAN-204665,HUB_SCAN,2024-07-30T05:50:42.821481,MTL-HUB-01,2024-07-30,,
9d0acc76-2513-482b-af0c-859153652ee4,SHP-ORPHAN-834985,HUB_SCAN,2021-03-29T00:05:36.923478,VAN-HUB-02,2021-03-29,,
4720ff54-f56e-4c89-8a8d-eef5e8bd4c6b,SHP-ORPHAN-193422,HUB_SCAN,2024-04-15T12:30:24.597928,VAN-HUB-02,2024-04-15,,
254d0463-a1e1-4d4b-a7c1-f7ab354d1e44,SHP-ORPHAN-469786,HUB_SCAN,2011-11-08T23:20:41.578904,ATL-HUB-01,2011-11-08,,
69221913-9aa9-4e61-8f3a-a518331bb651,SHP-ORPHAN-017801,HUB_SCAN,2020-08-20T15:08:11.220209,GTA-HUB-01,2020-08-20,,
f6d19395-746a-45df-8d7f-5bce9bf8b698,SHP-ORPHAN-623159,HUB_SCAN,2017-11-30T20:16:11.140224,VAN-HUB-01,2017-11-30,,
7a478c9d-8bed-4fe9-833f-f489126d3fa3,SHP-ORPHAN-260028,HUB_SCAN,2019-05-21T16:26:20.363650,VAN-HUB-01,2019-05-21,,
770b3a28-1b01-44c5-a5b8-5db82a1c1e08,SHP-ORPHAN-687550,HUB_SCAN,2015-09-17T19:45:18.370597,GTA-HUB-01,2015-09-17,,
d5c03e8a-3945-43fa-9639-2ac0df772677,SHP-ORPHAN-029819,HUB_SCAN,2012-01-22T05:03:33.594123,EDM-HUB-01,2012-01-22,,
3b5c2d76-82dd-4e7e-9d30-a4ef2edbec01,SHP-ORPHAN-300923,HUB_SCAN,2014-05-30T07:09:14.071245,VAN-HUB-02,2014-05-30,,
d29177b7-06f1-468b-928d-5dc82a4649e6,SHP-ORPHAN-889520,HUB_SCAN,2022-02-03T10:43:55.522244,VAN-HUB-01,2022-02-03,,
5b5924fc-c654-4462-83a1-cb63ce923969,SHP-ORPHAN-519278,HUB_SCAN,2015-01-07T19:44:41.422617,MTL-HUB-01,2015-01-07,,
c89deeb5-5178-4d79-9e1f-687591493398,SHP-ORPHAN-633516,HUB_SCAN,2019-04-23T14:55:32.714358,ATL-HUB-01,2019-04-23,,
401ed730-54fa-4efb-978d-ae6a01fe3b90,SHP-ORPHAN-902678,HUB_SCAN,2014-01-22T09:29:07.877520,MTL-HUB-01,2014-01-22,,
f81b14cf-07d4-497b-aecf-476259d4a7c1,SHP-ORPHAN-956669,HUB_SCAN,2026-01-03T06:16:05.701971,GTA-HUB-02,2026-01-03,,
29b8e7e5-4205-4630-a188-4a6f9747bd08,SHP-ORPHAN-237169,HUB_SCAN,2016-10-19T11:21:15.439762,GTA-HUB-01,2016-10-19,,
4d4d59d4-d548-496b-b216-3878c2a01055,SHP-ORPHAN-258071,HUB_SCAN,2021-11-29T05:40:00.220158,CAL-HUB-01,2021-11-29,,
ea2cb0dc-a64b-4457-b8df-397a3b07a7e7,SHP-ORPHAN-012895,HUB_SCAN,2025-06-09T18:06:23.058483,VAN-HUB-01,2025-06-09,,
