event_id,shipment_id,event_type,event_timestamp,carrier_hub,ingestion_date,attempt_number,attempt_result,booking_timestamp,promised_delivery_date,region,customer_type,service_tier,is_guaranteed,weight_kg
825fef98-ac28-4abd-8f17-9492571351a6,SHP-01065350,DELIVERY_ATTEMPT,2026-07-13T22:40:19.819236,MTL-HUB-01,2026-07-13,1.0,FAILED_NO_ONE_HOME,,,,,,,
ae82da2d-7055-465f-bfed-881c6b3e2fbe,SHP-01065457,DELIVERY_ATTEMPT,2026-07-14T16:30:18.223109,VAN-HUB-02,2026-07-14,2.0,SUCCESS,,,,,,,
6024b817-d557-4586-801c-b51597d9c604,SHP-01065513,DELIVERY_ATTEMPT,2026-07-14T00:58:42.690048,MTL-HUB-02,2026-07-14,2.0,SUCCESS,,,,,,,
72c3df04-0476-4236-a737-3996cde43323,SHP-01065638,DELIVERY_ATTEMPT,2026-07-14T14:09:50.970764,VAN-HUB-01,2026-07-14,3.0,SUCCESS,,,,,,,
bd6bf4b5-1255-4346-bc36-f01a43867a9b,SHP-01065674,DELIVERY_ATTEMPT,2026-07-14T02:03:45.738648,MTL-HUB-01,2026-07-14,1.0,SUCCESS,,,,,,,
e289ec62-556f-4e20-bf27-2a4e7f126882,SHP-01065681,DELIVERY_ATTEMPT,2026-07-14T08:59:51.675798,VAN-HUB-01,2026-07-14,3.0,SUCCESS,,,,,,,
eaabb66b-2bc7-4c73-abd8-10cd9d5cf6d4,SHP-01065719,DELIVERY_ATTEMPT,2026-07-14T23:21:03.050167,GTA-HUB-03,2026-07-14,3.0,SUCCESS,,,,,,,
7ef4e691-7ae7-4027-bf04-72a51e6cc31c,SHP-01065735,DELIVERY_ATTEMPT,2026-07-14T20:15:38.656035,MTL-HUB-02,2026-07-14,1.0,SUCCESS,,,,,,,
7d172eb1-a00f-4f2c-b68f-5906f834bb71,SHP-01065827,DELIVERY_ATTEMPT,2026-07-14T07:47:54.984910,CAL-HUB-01,2026-07-14,3.0,SUCCESS,,,,,,,
b0d35f69-2aa1-46c0-980b-66cc3e2ee313,SHP-01065881,DELIVERY_ATTEMPT,2026-07-15T04:45:04.977043,MTL-HUB-02,2026-07-15,2.0,SUCCESS,,,,,,,
c49f8b4c-c872-4a25-8a19-7d13fca1e3ed,SHP-01065902,DELIVERY_ATTEMPT,2026-07-14T09:48:19.130134,MTL-HUB-01,2026-07-14,3.0,SUCCESS,,,,,,,
a333504b-08a3-431a-8e75-b1be765f244d,SHP-01065946,DELIVERY_ATTEMPT,2026-07-13T21:03:15.383520,GTA-HUB-03,2026-07-13,2.0,SUCCESS,,,,,,,
752cdd54-0757-4aaf-94d5-c33026aff2b3,SHP-01065952,DELIVERY_ATTEMPT,2026-07-14T09:39:15.827682,GTA-HUB-01,2026-07-14,3.0,SUCCESS,,,,,,,
2fa01d04-3cd8-4e6b-9f91-5d3a5ca6b585,SHP-01065953,DELIVERY_ATTEMPT,2026-07-14T00:54:30.159059,GTA-HUB-01,2026-07-14,2.0,FAILED_NO_ONE_HOME,,,,,,,
8b41e075-5f09-44a7-8bd7-79578fec20ef,SHP-01065953,DELIVERY_ATTEMPT,2026-07-15T09:06:17.697687,GTA-HUB-01,2026-07-15,3.0,SUCCESS,,,,,,,
add3b44c-1465-464d-9ecc-f267b958a497,SHP-01065955,DELIVERY_ATTEMPT,2026-07-13T22:53:54.439518,VAN-HUB-01,2026-07-13,1.0,FAILED_NO_ONE_HOME,,,,,,,
87903054-bf29-442d-a0ac-4122095b57cc,SHP-01065955,DELIVERY_ATTEMPT,2026-07-15T10:11:05.359738,VAN-HUB-01,2026-07-15,2.0,SUCCESS,,,,,,,
52c7c3f0-4952-478b-88cf-225a69f5e71f,SHP-01065956,DELIVERY_ATTEMPT,2026-07-13T23:16:09.833805,GTA-HUB-01,2026-07-13,2.0,SUCCESS,,,,,,,
a4977a76-51ea-4f2a-9bbe-d65f1d4765bc,SHP-01065964,DELIVERY_ATTEMPT,2026-07-14T11:59:40.523339,MTL-HUB-01,2026-07-14,2.0,SUCCESS,,,,,,,
37693c8e-a581-4a9b-b2fe-d469e9a96082,SHP-01065973,DELIVERY_ATTEMPT,2026-07-14T05:06:31.958537,MTL-HUB-01,2026-07-14,2.0,FAILED_NO_ONE_HOME,,,,,,,
6b3ba07e-089b-4b8e-93ca-d99591184a29,SHP-01065973,DELIVERY_ATTEMPT,2026-07-15T09:51:18.219161,MTL-HUB-01,2026-07-15,3.0,SUCCESS,,,,,,,
e3f6b2ec-d58e-4edb-9514-21959f518739,SHP-01065975,DELIVERY_ATTEMPT,2026-07-14T03:46:55.447060,MTL-HUB-01,2026-07-14,2.0,SUCCESS,,,,,,,
